상품번호,코디 페이지 링크,코디 사진 링크,업로드 날짜,코디 이름,조회수,댓글수,성별
34738,https://www.musinsa.com/app/styles/views/34738,//image.musinsa.com/images/style/list/2023072009580500000057709.jpg,23.07.21,취향 저격,1327,0,woman
34620,https://www.musinsa.com/app/styles/views/34620,//image.musinsa.com/images/style/list/2023071520391000000052415.jpg,23.07.18,여름 스타일링,717,0,woman
34617,https://www.musinsa.com/app/styles/views/34617,//image.musinsa.com/images/style/list/2023071415050800000074296.jpg,23.07.14,레이어드 룩,556,0,woman
34615,https://www.musinsa.com/app/styles/views/34615,//image.musinsa.com/images/style/list/2023071414592100000084371.jpg,23.07.14,사랑스러워!,799,0,woman
34614,https://www.musinsa.com/app/styles/views/34614,//image.musinsa.com/images/style/list/2023071414553000000021091.jpg,23.07.14,슬립 원피스 활용법,1070,0,woman
34609,https://www.musinsa.com/app/styles/views/34609,//image.musinsa.com/images/style/list/2023071414330600000060426.jpg,23.07.14,워너비 코디,808,0,woman
34606,https://www.musinsa.com/app/styles/views/34606,//image.musinsa.com/images/style/list/2023071414224000000051570.jpg,23.07.14,화사한 느낌,315,0,woman
34573,https://www.musinsa.com/app/styles/views/34573,//image.musinsa.com/images/style/list/2023071216541300000080430.jpg,23.07.13,여행의 계절,548,0,woman
34571,https://www.musinsa.com/app/styles/views/34571,//image.musinsa.com/images/style/list/2023071216531200000034099.jpg,23.07.13,쿨한 여행 룩,589,0,woman
34563,https://www.musinsa.com/app/styles/views/34563,//image.musinsa.com/images/style/list/2023071216485300000036560.jpg,23.07.13,시원한 원피스 룩,643,0,woman
34562,https://www.musinsa.com/app/styles/views/34562,//image.musinsa.com/images/style/list/2023071216481600000030532.jpg,23.07.13,편안한 연출,1071,0,woman
34560,https://www.musinsa.com/app/styles/views/34560,//image.musinsa.com/images/style/list/2023071216472600000020194.jpg,23.07.13,디테일 가득!,653,0,woman
34559,https://www.musinsa.com/app/styles/views/34559,//image.musinsa.com/images/style/list/2023071216470100000001109.jpg,23.07.13,화사한 매력,484,0,woman
34558,https://www.musinsa.com/app/styles/views/34558,//image.musinsa.com/images/style/list/2023071216463300000011975.jpg,23.07.13,러블리 무드,1057,0,woman
34557,https://www.musinsa.com/app/styles/views/34557,//image.musinsa.com/images/style/list/2023071216460400000002232.jpg,23.07.13,꾸안꾸 룩,386,0,woman
34556,https://www.musinsa.com/app/styles/views/34556,//image.musinsa.com/images/style/list/2023071216452500000015857.jpg,23.07.13,서머 백 연출법,655,0,woman
34498,https://www.musinsa.com/app/styles/views/34498,//image.musinsa.com/images/style/list/2023071210543800000074064.jpg,23.07.12,여름 데이트 룩,1030,0,woman
34495,https://www.musinsa.com/app/styles/views/34495,//image.musinsa.com/images/style/list/2023071210415800000092903.jpg,23.07.12,화사한 분위기,404,0,woman
34486,https://www.musinsa.com/app/styles/views/34486,//image.musinsa.com/images/style/list/2023072117394500000094568.jpg,23.07.24,[윤애리 스타일리스트] 미니 원피스 코디,614,0,woman
34483,https://www.musinsa.com/app/styles/views/34483,//image.musinsa.com/images/style/list/2023072117323100000085029.jpg,23.07.24,[정진아 스타일리스트] 비비드 포인트,665,0,woman
34482,https://www.musinsa.com/app/styles/views/34482,//image.musinsa.com/images/style/list/2023072117301200000065636.jpg,23.07.24,[정진아 스타일리스트] 핑크를 더해줘,996,0,woman
34479,https://www.musinsa.com/app/styles/views/34479,//image.musinsa.com/images/style/list/2023072117222100000014760.jpg,23.07.24,[정진아 스타일리스트] 주말 데이트,1109,0,woman
34478,https://www.musinsa.com/app/styles/views/34478,//image.musinsa.com/images/style/list/2023072117201600000044234.jpg,23.07.24,[정진아 스타일리스트] 클래식 스타일,1001,0,woman
34477,https://www.musinsa.com/app/styles/views/34477,//image.musinsa.com/images/style/list/2023072117172500000063738.jpg,23.07.24,[정진아 스타일리스트] 톤온톤 매치,1161,0,woman
34475,https://www.musinsa.com/app/styles/views/34475,//image.musinsa.com/images/style/list/2023072117125700000097484.jpg,23.07.24,[정진아 스타일리스트] 데일리 웨어,993,0,woman
34474,https://www.musinsa.com/app/styles/views/34474,//image.musinsa.com/images/style/list/2023072117093100000032505.jpg,23.07.24,[정진아 스타일리스트] 차분한 무드,1069,0,woman
34472,https://www.musinsa.com/app/styles/views/34472,//image.musinsa.com/images/style/list/2023071415163800000097080.jpg,23.07.14,여행 코디,1004,0,woman
34438,https://www.musinsa.com/app/styles/views/34438,//image.musinsa.com/images/style/list/2023070615554900000028349.jpg,23.07.07,분위기를 더해,1071,0,woman
34284,https://www.musinsa.com/app/styles/views/34284,//image.musinsa.com/images/style/list/2023062915154300000093925.jpg,23.06.30,리조트 패션,731,0,woman
34279,https://www.musinsa.com/app/styles/views/34279,//image.musinsa.com/images/style/list/2023062915025700000059096.jpg,23.06.30,유니크한 느낌,602,0,woman
34244,https://www.musinsa.com/app/styles/views/34244,//image.musinsa.com/images/style/list/2023062813334900000087895.jpg,23.06.29,독보적인 실루엣,2251,0,woman
34233,https://www.musinsa.com/app/styles/views/34233,//image.musinsa.com/images/style/list/2023062812585600000030924.jpg,23.06.29,로맨틱한 하루,802,0,woman
34193,https://www.musinsa.com/app/styles/views/34193,//image.musinsa.com/images/style/list/2023062721265800000021095.jpg,23.06.28,로맨틱 바캉스,1955,0,woman
34145,https://www.musinsa.com/app/styles/views/34145,//image.musinsa.com/images/style/list/2023071211034600000058082.jpg,23.06.30,패셔너블한 휴가,921,0,woman
34143,https://www.musinsa.com/app/styles/views/34143,//image.musinsa.com/images/style/list/2023062522463700000035355.jpg,23.06.30,스윔웨어 즐기기,1362,0,woman
34138,https://www.musinsa.com/app/styles/views/34138,//image.musinsa.com/images/style/list/2023062311010500000055921.jpg,23.06.23,설레는 하루,5088,0,woman
34137,https://www.musinsa.com/app/styles/views/34137,//image.musinsa.com/images/style/list/2023062310511400000025925.jpg,23.06.23,원피스 홀릭,1491,0,woman
34135,https://www.musinsa.com/app/styles/views/34135,//image.musinsa.com/images/style/list/2023062310351400000030644.jpg,23.06.23,로맨틱 무드,1477,0,woman
34103,https://www.musinsa.com/app/styles/views/34103,//image.musinsa.com/images/style/list/2023062214351900000022533.jpg,23.06.22,하객 룩 스타일링,1233,0,woman
34102,https://www.musinsa.com/app/styles/views/34102,//image.musinsa.com/images/style/list/2023062214345600000002505.jpg,23.06.22,섬세한 디테일,670,0,woman
34101,https://www.musinsa.com/app/styles/views/34101,//image.musinsa.com/images/style/list/2023062214343300000090820.jpg,23.06.22,로맨틱 실루엣,809,0,woman
34088,https://www.musinsa.com/app/styles/views/34088,//image.musinsa.com/images/style/list/2023062214234900000053660.jpg,23.06.22,블루 포인트!,770,0,woman
34086,https://www.musinsa.com/app/styles/views/34086,//image.musinsa.com/images/style/list/2023062214220400000060463.jpg,23.06.22,담백한 매치,562,0,woman
33977,https://www.musinsa.com/app/styles/views/33977,//image.musinsa.com/images/style/list/2023062523503500000003526.jpg,23.06.26,[정진아 스타일리스트] 청순한 시어 룩,1731,0,woman
33900,https://www.musinsa.com/app/styles/views/33900,//image.musinsa.com/images/style/list/2023061311281500000098041.jpg,23.06.13,로맨틱 분위기,2265,0,woman
33898,https://www.musinsa.com/app/styles/views/33898,//image.musinsa.com/images/style/list/2023061311213900000042407.jpg,23.06.13,여신 분위기,2372,0,woman
